Number,Home team name,Away team name,Home goals,Away goals,Competition,Week
1,SV Werder Bremen,FC Bayern München,0,4,Bundesliga,1
2,VfB Stuttgart,VfL Bochum 1848,5,0,Bundesliga,1
3,FC Augsburg,Borussia Mönchengladbach,4,4,Bundesliga,1
4,TSG Hoffenheim,SC Freiburg,1,2,Bundesliga,1
5,VfL Wolfsburg,1. FC Heidenheim 1846,2,0,Bundesliga,1
6,Bayer 04 Leverkusen,RB Leipzig,3,2,Bundesliga,1
7,Borussia Dortmund,1. FC Köln,1,0,Bundesliga,1
8,1. FC Union Berlin,1. FSV Mainz 05,4,1,Bundesliga,1
9,Eintracht Frankfurt,SV Darmstadt 98,1,0,Bundesliga,1
10,RB Leipzig,VfB Stuttgart,5,1,Bundesliga,2
11,SV Darmstadt 98,1. FC Union Berlin,1,4,Bundesliga,2
12,1. FC Heidenheim 1846,TSG Hoffenheim,2,3,Bundesliga,2
13,VfL Bochum 1848,Borussia Dortmund,1,1,Bundesliga,2
14,1. FC Köln,VfL Wolfsburg,1,2,Bundesliga,2
15,SC Freiburg,SV Werder Bremen,1,0,Bundesliga,2
16,Borussia Mönchengladbach,Bayer 04 Leverkusen,0,3,Bundesliga,2
17,1. FSV Mainz 05,Eintracht Frankfurt,1,1,Bundesliga,2
18,FC Bayern München,FC Augsburg,3,1,Bundesliga,2
19,Borussia Dortmund,1. FC Heidenheim 1846,2,2,Bundesliga,3
20,VfB Stuttgart,SC Freiburg,5,0,Bundesliga,3
21,FC Augsburg,VfL Bochum 1848,2,2,Bundesliga,3
22,SV Werder Bremen,1. FSV Mainz 05,4,0,Bundesliga,3
23,TSG Hoffenheim,VfL Wolfsburg,3,1,Bundesliga,3
24,Bayer 04 Leverkusen,SV Darmstadt 98,5,1,Bundesliga,3
25,Borussia Mönchengladbach,FC Bayern München,1,2,Bundesliga,3
26,Eintracht Frankfurt,1. FC Köln,1,1,Bundesliga,3
27,1. FC Union Berlin,RB Leipzig,0,3,Bundesliga,3
28,FC Bayern München,Bayer 04 Leverkusen,2,2,Bundesliga,4
29,1. FC Köln,TSG Hoffenheim,1,3,Bundesliga,4
30,1. FSV Mainz 05,VfB Stuttgart,1,3,Bundesliga,4
31,VfL Wolfsburg,1. FC Union Berlin,2,1,Bundesliga,4
32,SC Freiburg,Borussia Dortmund,2,4,Bundesliga,4
33,RB Leipzig,FC Augsburg,3,0,Bundesliga,4
34,VfL Bochum 1848,Eintracht Frankfurt,1,1,Bundesliga,4
35,1. FC Heidenheim 1846,SV Werder Bremen,4,2,Bundesliga,4
36,SV Darmstadt 98,Borussia Mönchengladbach,3,3,Bundesliga,4
37,VfB Stuttgart,SV Darmstadt 98,3,1,Bundesliga,5
38,FC Augsburg,1. FSV Mainz 05,2,1,Bundesliga,5
39,Borussia Mönchengladbach,RB Leipzig,0,1,Bundesliga,5
40,1. FC Union Berlin,TSG Hoffenheim,0,2,Bundesliga,5
41,Borussia Dortmund,VfL Wolfsburg,1,0,Bundesliga,5
42,FC Bayern München,VfL Bochum 1848,7,0,Bundesliga,5
43,SV Werder Bremen,1. FC Köln,2,1,Bundesliga,5
44,Bayer 04 Leverkusen,1. FC Heidenheim 1846,4,1,Bundesliga,5
45,Eintracht Frankfurt,SC Freiburg,0,0,Bundesliga,5
46,TSG Hoffenheim,Borussia Dortmund,1,3,Bundesliga,6
47,1. FC Heidenheim 1846,1. FC Union Berlin,1,0,Bundesliga,6
48,VfL Bochum 1848,Borussia Mönchengladbach,1,3,Bundesliga,6
49,1. FC Köln,VfB Stuttgart,0,2,Bundesliga,6
50,1. FSV Mainz 05,Bayer 04 Leverkusen,0,3,Bundesliga,6
51,VfL Wolfsburg,Eintracht Frankfurt,2,0,Bundesliga,6
52,RB Leipzig,FC Bayern München,2,2,Bundesliga,6
53,SV Darmstadt 98,SV Werder Bremen,4,2,Bundesliga,6
54,SC Freiburg,FC Augsburg,2,0,Bundesliga,6
55,Borussia Mönchengladbach,1. FSV Mainz 05,2,2,Bundesliga,7
56,VfB Stuttgart,VfL Wolfsburg,3,1,Bundesliga,7
57,FC Augsburg,SV Darmstadt 98,1,2,Bundesliga,7
58,RB Leipzig,VfL Bochum 1848,0,0,Bundesliga,7
59,Borussia Dortmund,1. FC Union Berlin,4,2,Bundesliga,7
60,SV Werder Bremen,TSG Hoffenheim,2,3,Bundesliga,7
61,Bayer 04 Leverkusen,1. FC Köln,3,0,Bundesliga,7
62,FC Bayern München,SC Freiburg,3,0,Bundesliga,7
63,Eintracht Frankfurt,1. FC Heidenheim 1846,2,0,Bundesliga,7
64,Borussia Dortmund,SV Werder Bremen,1,0,Bundesliga,8
65,SV Darmstadt 98,RB Leipzig,1,3,Bundesliga,8
66,TSG Hoffenheim,Eintracht Frankfurt,1,3,Bundesliga,8
67,VfL Wolfsburg,Bayer 04 Leverkusen,1,2,Bundesliga,8
68,SC Freiburg,VfL Bochum 1848,2,1,Bundesliga,8
69,1. FC Union Berlin,VfB Stuttgart,0,3,Bundesliga,8
70,1. FSV Mainz 05,FC Bayern München,1,3,Bundesliga,8
71,1. FC Köln,Borussia Mönchengladbach,3,1,Bundesliga,8
72,1. FC Heidenheim 1846,FC Augsburg,2,5,Bundesliga,8
73,VfL Bochum 1848,1. FSV Mainz 05,2,2,Bundesliga,9
74,VfB Stuttgart,TSG Hoffenheim,2,3,Bundesliga,9
75,FC Augsburg,VfL Wolfsburg,3,2,Bundesliga,9
76,SV Werder Bremen,1. FC Union Berlin,2,0,Bundesliga,9
77,Borussia Mönchengladbach,1. FC Heidenheim 1846,2,1,Bundesliga,9
78,FC Bayern München,SV Darmstadt 98,8,0,Bundesliga,9
79,RB Leipzig,1. FC Köln,6,0,Bundesliga,9
80,Eintracht Frankfurt,Borussia Dortmund,3,3,Bundesliga,9
81,Bayer 04 Leverkusen,SC Freiburg,2,1,Bundesliga,9
82,SV Darmstadt 98,VfL Bochum 1848,1,2,Bundesliga,10
83,TSG Hoffenheim,Bayer 04 Leverkusen,2,3,Bundesliga,10
84,1. FC Köln,FC Augsburg,1,1,Bundesliga,10
85,1. FSV Mainz 05,RB Leipzig,2,0,Bundesliga,10
86,SC Freiburg,Borussia Mönchengladbach,3,3,Bundesliga,10
87,1. FC Union Berlin,Eintracht Frankfurt,0,3,Bundesliga,10
88,Borussia Dortmund,FC Bayern München,0,4,Bundesliga,10
89,VfL Wolfsburg,SV Werder Bremen,2,2,Bundesliga,10
90,1. FC Heidenheim 1846,VfB Stuttgart,2,0,Bundesliga,10
91,Borussia Mönchengladbach,VfL Wolfsburg,4,0,Bundesliga,11
92,SV Darmstadt 98,1. FSV Mainz 05,0,0,Bundesliga,11
93,VfB Stuttgart,Borussia Dortmund,2,1,Bundesliga,11
94,FC Augsburg,TSG Hoffenheim,1,1,Bundesliga,11
95,FC Bayern München,1. FC Heidenheim 1846,4,2,Bundesliga,11
96,VfL Bochum 1848,1. FC Köln,1,1,Bundesliga,11
97,Bayer 04 Leverkusen,1. FC Union Berlin,4,0,Bundesliga,11
98,SV Werder Bremen,Eintracht Frankfurt,2,2,Bundesliga,11
99,RB Leipzig,SC Freiburg,3,1,Bundesliga,11
100,1. FC Köln,FC Bayern München,0,1,Bundesliga,12
101,SV Werder Bremen,Bayer 04 Leverkusen,0,3,Bundesliga,12
102,VfL Wolfsburg,RB Leipzig,2,1,Bundesliga,12
103,SC Freiburg,SV Darmstadt 98,1,1,Bundesliga,12
104,1. FC Union Berlin,FC Augsburg,1,1,Bundesliga,12
105,Borussia Dortmund,Borussia Mönchengladbach,4,2,Bundesliga,12
106,Eintracht Frankfurt,VfB Stuttgart,1,2,Bundesliga,12
107,1. FC Heidenheim 1846,VfL Bochum 1848,0,0,Bundesliga,12
108,TSG Hoffenheim,1. FSV Mainz 05,1,1,Bundesliga,12
109,SV Darmstadt 98,1. FC Köln,0,1,Bundesliga,13
110,VfL Bochum 1848,VfL Wolfsburg,3,1,Bundesliga,13
111,Borussia Mönchengladbach,TSG Hoffenheim,2,1,Bundesliga,13
112,RB Leipzig,1. FC Heidenheim 1846,2,1,Bundesliga,13
113,VfB Stuttgart,SV Werder Bremen,2,0,Bundesliga,13
114,1. FSV Mainz 05,SC Freiburg,0,1,Bundesliga,13
115,Bayer 04 Leverkusen,Borussia Dortmund,1,1,Bundesliga,13
116,FC Augsburg,Eintracht Frankfurt,2,1,Bundesliga,13
117,FC Bayern München,1. FC Union Berlin,1,0,Bundesliga,13
118,TSG Hoffenheim,VfL Bochum 1848,3,1,Bundesliga,14
