Number,Home team name,Away team name,Home goals,Away goals,Competiton,Match Date
1,Puntarenas FC,Herediano,0,2,Liga Promerica,2024-09-15
2,Alajuelense,Liberia,2,2,Liga Promerica,2024-09-15
3,São Paulo,Vasco da Gama,3,0,Brazilian Série A,2024-09-15
4,Fortaleza,Atlético Mineiro,1,1,Brazilian Série A,2024-09-15
5,Dewa United,Persik,2,3,BRI Liga 1,2024-09-15
6,PSIS,Persija Jakarta,0,2,BRI Liga 1,2024-09-15
7,River Plate,Defensor Sporting,0,1,Campeonato Uruguayo,2024-09-15
8,Dominican Republic U-17,Ecuador U-17,0,2,FIFA U-17 Women's World Cup,2024-09-15
9,Puntarenas FC,Herediano,0,2,Liga Promerica,2024-09-16
10,Alajuelense,Liberia,2,2,Liga Promerica,2024-09-16
11,São Paulo,Vasco da Gama,3,0,Brazilian Série A,2024-09-16
12,Fortaleza,Atlético Mineiro,1,1,Brazilian Série A,2024-09-16
13,Dewa United,Persik,2,3,BRI Liga 1,2024-09-16
14,PSIS,Persija Jakarta,0,2,BRI Liga 1,2024-09-16
15,River Plate,Defensor Sporting,0,1,Campeonato Uruguayo,2024-09-16
16,Dominican Republic U-17,Ecuador U-17,0,2,FIFA U-17 Women's World Cup,2024-09-16
17,Puntarenas FC,Herediano,0,2,Liga Promerica,2024-09-17
18,Alajuelense,Liberia,2,2,Liga Promerica,2024-09-17
19,São Paulo,Vasco da Gama,3,0,Brazilian Série A,2024-09-17
20,Fortaleza,Atlético Mineiro,1,1,Brazilian Série A,2024-09-17
21,Dewa United,Persik,2,3,BRI Liga 1,2024-09-17
22,PSIS,Persija Jakarta,0,2,BRI Liga 1,2024-09-17
23,River Plate,Defensor Sporting,0,1,Campeonato Uruguayo,2024-09-17
24,Dominican Republic U-17,Ecuador U-17,0,2,FIFA U-17 Women's World Cup,2024-09-17
25,Puntarenas FC,Herediano,0,2,Liga Promerica,2024-09-18
26,Alajuelense,Liberia,2,2,Liga Promerica,2024-09-18
27,São Paulo,Vasco da Gama,3,0,Brazilian Série A,2024-09-18
28,Fortaleza,Atlético Mineiro,1,1,Brazilian Série A,2024-09-18
29,Dewa United,Persik,2,3,BRI Liga 1,2024-09-18
30,PSIS,Persija Jakarta,0,2,BRI Liga 1,2024-09-18
31,River Plate,Defensor Sporting,0,1,Campeonato Uruguayo,2024-09-18
32,Dominican Republic U-17,Ecuador U-17,0,2,FIFA U-17 Women's World Cup,2024-09-18
33,Puntarenas FC,Herediano,0,2,Liga Promerica,2024-09-19
34,Alajuelense,Liberia,2,2,Liga Promerica,2024-09-19
35,São Paulo,Vasco da Gama,3,0,Brazilian Série A,2024-09-19
36,Fortaleza,Atlético Mineiro,1,1,Brazilian Série A,2024-09-19
37,Dewa United,Persik,2,3,BRI Liga 1,2024-09-19
38,PSIS,Persija Jakarta,0,2,BRI Liga 1,2024-09-19
39,River Plate,Defensor Sporting,0,1,Campeonato Uruguayo,2024-09-19
