Number,Home team name,Away team name,Home goals,Away goals,Week,Competition
1,Man Utd,Fulham,1,0,1,Premier League
2,Ipswich,Liverpool,0,2,1,Premier League
3,Arsenal,Wolves,2,0,1,Premier League
4,Everton,Brighton,0,3,1,Premier League
5,Newcastle,Southampton,1,0,1,Premier League
6,Nott'm Forest,Bournemouth,1,1,1,Premier League
7,West Ham,Aston Villa,1,2,1,Premier League
8,Brentford,Crystal Palace,2,1,1,Premier League
9,Chelsea,Man City,0,2,1,Premier League
10,Leicester,Spurs,1,1,1,Premier League
11,Brighton,Man Utd,2,1,2,Premier League
12,Crystal Palace,West Ham,0,2,2,Premier League
13,Fulham,Leicester,2,1,2,Premier League
14,Man City,Ipswich,4,1,2,Premier League
15,Southampton,Nott'm Forest,0,1,2,Premier League
16,Spurs,Everton,4,0,2,Premier League
17,Aston Villa,Arsenal,0,2,2,Premier League
18,Bournemouth,Newcastle,1,1,2,Premier League
19,Wolves,Chelsea,2,6,2,Premier League
20,Liverpool,Brentford,2,0,2,Premier League
21,Arsenal,Brighton,1,1,3,Premier League
22,Brentford,Southampton,3,1,3,Premier League
23,Everton,Bournemouth,2,3,3,Premier League
24,Ipswich,Fulham,1,1,3,Premier League
25,Leicester,Aston Villa,1,2,3,Premier League
26,Nott'm Forest,Wolves,1,1,3,Premier League
27,West Ham,Man City,1,3,3,Premier League
28,Chelsea,Crystal Palace,1,1,3,Premier League
29,Newcastle,Spurs,2,1,3,Premier League
30,Man Utd,Liverpool,0,3,3,Premier League
31,Southampton,Man Utd,0,3,4,Premier League
32,Brighton,Ipswich,0,0,4,Premier League
33,Crystal Palace,Leicester,2,2,4,Premier League
34,Fulham,West Ham,1,1,4,Premier League
35,Liverpool,Nott'm Forest,0,1,4,Premier League
36,Man City,Brentford,2,1,4,Premier League
37,Aston Villa,Everton,3,2,4,Premier League
38,Bournemouth,Chelsea,0,1,4,Premier League
39,Spurs,Arsenal,0,1,4,Premier League
40,Wolves,Newcastle,1,2,4,Premier League
41,West Ham,Chelsea,0,3,5,Premier League
42,Aston Villa,Wolves,3,1,5,Premier League
43,Fulham,Newcastle,3,1,5,Premier League
44,Leicester,Everton,1,1,5,Premier League
45,Liverpool,Bournemouth,3,0,5,Premier League
46,Southampton,Ipswich,1,1,5,Premier League
47,Spurs,Brentford,3,1,5,Premier League
48,Crystal Palace,Man Utd,0,0,5,Premier League
49,Brighton,Nott'm Forest,2,2,5,Premier League
50,Man City,Arsenal,2,2,5,Premier League
51,Newcastle,Man City,1,1,6,Premier League
52,Arsenal,Leicester,4,2,6,Premier League
53,Brentford,West Ham,1,1,6,Premier League
54,Chelsea,Brighton,4,2,6,Premier League
55,Everton,Crystal Palace,2,1,6,Premier League
56,Nott'm Forest,Fulham,0,1,6,Premier League
57,Wolves,Liverpool,1,2,6,Premier League
58,Ipswich,Aston Villa,2,2,6,Premier League
59,Man Utd,Spurs,0,3,6,Premier League
60,Bournemouth,Southampton,3,1,6,Premier League
61,Crystal Palace,Liverpool,0,1,7,Premier League
62,Arsenal,Southampton,3,1,7,Premier League
63,Brentford,Wolves,5,3,7,Premier League
64,Leicester,Bournemouth,1,0,7,Premier League
65,Man City,Fulham,3,2,7,Premier League
66,West Ham,Ipswich,4,1,7,Premier League
67,Everton,Newcastle,0,0,7,Premier League
68,Aston Villa,Man Utd,0,0,7,Premier League
69,Chelsea,Nott'm Forest,1,1,7,Premier League
70,Brighton,Spurs,3,2,7,Premier League
